Flight ID,Carrier,Origin,Destination,Local Departure Time,Normalized Departure Time [min],Local Arrival Time,Normalized Arrival Time [min],Flight Cancelled?,Number of Seats
7142032,MQ,LGA,JAX,29-JUL-07 10.00.00.000000000 AM AMERICA/NEW_YORK,575,29-JUL-07 12.40.00.000000000 PM AMERICA/NEW_YORK,735,0,37
7142712,NW,MSP,LGA,29-JUL-07 05.17.00.000000000 PM AMERICA/CHICAGO,1072,29-JUL-07 08.59.00.000000000 PM AMERICA/NEW_YORK,1234,0,148
7170259,NW,DTW,MDW,29-JUL-07 09.07.00.000000000 AM AMERICA/NEW_YORK,522,29-JUL-07 09.20.00.000000000 AM AMERICA/CHICAGO,595,0,100
7173423,NW,BUF,MSP,29-JUL-07 07.00.00.000000000 PM AMERICA/NEW_YORK,1115,29-JUL-07 08.12.00.000000000 PM AMERICA/CHICAGO,1247,0,125
7184605,9E,IDA,MSP,29-JUL-07 08.10.00.000000000 AM AMERICA/DENVER,585,29-JUL-07 11.35.00.000000000 AM AMERICA/CHICAGO,730,0,50
7171080,NW,DTW,ORF,29-JUL-07 10.09.00.000000000 AM AMERICA/NEW_YORK,584,29-JUL-07 11.50.00.000000000 AM AMERICA/NEW_YORK,685,1,110
7173495,NW,IAH,DTW,29-JUL-07 07.17.00.000000000 AM AMERICA/CHICAGO,472,29-JUL-07 11.01.00.000000000 AM AMERICA/NEW_YORK,636,0,124
7173526,NW,DTW,IAH,29-JUL-07 07.09.00.000000000 PM AMERICA/NEW_YORK,1124,29-JUL-07 08.59.00.000000000 PM AMERICA/CHICAGO,1294,0,148
7171547,NW,EWR,MSP,29-JUL-07 08.00.00.000000000 AM AMERICA/NEW_YORK,455,29-JUL-07 10.00.00.000000000 AM AMERICA/CHICAGO,635,0,124
7171455,NW,MSO,MSP,29-JUL-07 01.55.00.000000000 PM AMERICA/DENVER,930,29-JUL-07 05.24.00.000000000 PM AMERICA/CHICAGO,1079,0,124
7177824,9E,DTW,LEX,29-JUL-07 09.20.00.000000000 AM AMERICA/NEW_YORK,535,29-JUL-07 10.38.00.000000000 AM AMERICA/NEW_YORK,613,0,50
7178480,9E,DTW,BGR,29-JUL-07 09.06.00.000000000 PM AMERICA/NEW_YORK,1241,29-JUL-07 11.09.00.000000000 PM AMERICA/NEW_YORK,1364,0,50
