,,,out,,,,,,
7037497,EV,OKC,ATL,29-JUL-07 05.31.00.000000000 PM AMERICA/CHICAGO,1086,29-JUL-07 08.40.00.000000000 PM AMERICA/NEW_YORK,1215,0,50
7041455,EV,ATL,MLI,29-JUL-07 07.45.00.000000000 PM AMERICA/NEW_YORK,1160,29-JUL-07 08.42.00.000000000 PM AMERICA/CHICAGO,1277,0,50
7042162,EV,ILM,ATL,29-JUL-07 10.35.00.000000000 AM AMERICA/NEW_YORK,610,29-JUL-07 11.59.00.000000000 AM AMERICA/NEW_YORK,694,0,50
7042842,EV,ATL,FWA,29-JUL-07 02.53.00.000000000 PM AMERICA/NEW_YORK,868,29-JUL-07 04.35.00.000000000 PM AMERICA/NEW_YORK,970,0,50
7040867,EV,BTR,ATL,29-JUL-07 12.34.00.000000000 PM AMERICA/CHICAGO,789,29-JUL-07 03.14.00.000000000 PM AMERICA/NEW_YORK,889,0,50
7039299,EV,ATL,MSN,29-JUL-07 01.01.00.000000000 PM AMERICA/NEW_YORK,756,29-JUL-07 02.01.00.000000000 PM AMERICA/CHICAGO,876,0,50
7044009,EV,ATL,DAY,29-JUL-07 09.20.00.000000000 AM AMERICA/NEW_YORK,535,29-JUL-07 10.56.00.000000000 AM AMERICA/NEW_YORK,631,0,40
7041578,EV,ATL,ATW,29-JUL-07 08.00.00.000000000 PM AMERICA/NEW_YORK,1175,29-JUL-07 09.17.00.000000000 PM AMERICA/CHICAGO,1312,0,50
7046430,EV,IAH,ATL,29-JUL-07 01.05.00.000000000 PM AMERICA/CHICAGO,820,29-JUL-07 04.14.00.000000000 PM AMERICA/NEW_YORK,949,0,70
7045416,EV,CHA,ATL,29-JUL-07 06.30.00.000000000 PM AMERICA/NEW_YORK,1085,29-JUL-07 07.23.00.000000000 PM AMERICA/NEW_YORK,1138,0,66
7042763,EV,ATL,PIA,29-JUL-07 10.01.00.000000000 AM AMERICA/NEW_YORK,576,29-JUL-07 10.54.00.000000000 AM AMERICA/CHICAGO,689,0,50
7039963,EV,LEX,ATL,29-JUL-07 09.55.00.000000000 AM AMERICA/NEW_YORK,570,29-JUL-07 11.22.00.000000000 AM AMERICA/NEW_YORK,657,0,50
7043575,EV,ISP,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,335,29-JUL-07 08.32.00.000000000 AM AMERICA/NEW_YORK,487,0,50
7040778,EV,VPS,ATL,29-JUL-07 09.30.00.000000000 AM AMERICA/CHICAGO,605,29-JUL-07 11.55.00.000000000 AM AMERICA/NEW_YORK,690,0,66
7040676,EV,ALB,ATL,29-JUL-07 05.39.00.000000000 PM AMERICA/NEW_YORK,1034,29-JUL-07 08.18.00.000000000 PM AMERICA/NEW_YORK,1193,0,70
7036536,EV,TLH,ATL,29-JUL-07 04.30.00.000000000 PM AMERICA/NEW_YORK,965,29-JUL-07 05.43.00.000000000 PM AMERICA/NEW_YORK,1038,0,50
7040603,EV,LFT,ATL,29-JUL-07 05.50.00.000000000 PM AMERICA/CHICAGO,1105,29-JUL-07 08.34.00.000000000 PM AMERICA/NEW_YORK,1209,0,50
7045590,EV,GPT,ATL,29-JUL-07 04.58.00.000000000 PM AMERICA/CHICAGO,1053,29-JUL-07 07.25.00.000000000 PM AMERICA/NEW_YORK,1140,0,55
7041324,EV,ATL,OMA,29-JUL-07 02.10.00.000000000 PM AMERICA/NEW_YORK,825,29-JUL-07 03.29.00.000000000 PM AMERICA/CHICAGO,964,0,50
7037137,EV,AVL,ATL,29-JUL-07 11.50.00.000000000 AM AMERICA/NEW_YORK,685,29-JUL-07 12.51.00.000000000 PM AMERICA/NEW_YORK,746,0,50
7038479,EV,IAH,ATL,29-JUL-07 02.30.00.000000000 PM AMERICA/CHICAGO,905,29-JUL-07 05.44.00.000000000 PM AMERICA/NEW_YORK,1039,0,50
7035666,EV,ATL,GTR,29-JUL-07 11.20.00.000000000 AM AMERICA/NEW_YORK,655,29-JUL-07 11.26.00.000000000 AM AMERICA/CHICAGO,721,0,40
7037856,EV,ATL,MDT,29-JUL-07 09.35.00.000000000 AM AMERICA/NEW_YORK,550,29-JUL-07 11.32.00.000000000 AM AMERICA/NEW_YORK,667,0,50
7038547,EV,ATL,MCN,29-JUL-07 07.27.00.000000000 PM AMERICA/NEW_YORK,1142,29-JUL-07 08.25.00.000000000 PM AMERICA/NEW_YORK,1200,1,66
7045674,EV,ATL,GNV,29-JUL-07 08.38.00.000000000 AM AMERICA/NEW_YORK,493,29-JUL-07 10.10.00.000000000 AM AMERICA/NEW_YORK,585,0,66
7042902,EV,ATL,GRK,29-JUL-07 07.30.00.000000000 PM AMERICA/NEW_YORK,1145,29-JUL-07 08.56.00.000000000 PM AMERICA/CHICAGO,1291,0,50
7041411,EV,ATL,MFE,29-JUL-07 07.00.00.000000000 PM AMERICA/NEW_YORK,1115,29-JUL-07 08.38.00.000000000 PM AMERICA/CHICAGO,1273,0,50
7037947,EV,TYS,ATL,29-JUL-07 05.25.00.000000000 PM AMERICA/NEW_YORK,1020,29-JUL-07 06.25.00.000000000 PM AMERICA/NEW_YORK,1080,0,70
7037281,EV,ROC,ATL,29-JUL-07 05.55.00.000000000 PM AMERICA/NEW_YORK,1050,29-JUL-07 08.14.00.000000000 PM AMERICA/NEW_YORK,1189,0,70
7044127,EV,XNA,ATL,29-JUL-07 10.00.00.000000000 AM AMERICA/CHICAGO,635,29-JUL-07 12.49.00.000000000 PM AMERICA/NEW_YORK,744,0,50
7039272,EV,ILG,ATL,29-JUL-07 05.30.00.000000000 PM AMERICA/NEW_YORK,1025,29-JUL-07 07.49.00.000000000 PM AMERICA/NEW_YORK,1164,0,50
7039922,EV,ILM,ATL,29-JUL-07 08.00.00.000000000 AM AMERICA/NEW_YORK,455,29-JUL-07 09.24.00.000000000 AM AMERICA/NEW_YORK,539,0,50
7040626,EV,ATL,CHO,29-JUL-07 09.16.00.000000000 AM AMERICA/NEW_YORK,531,29-JUL-07 10.50.00.000000000 AM AMERICA/NEW_YORK,625,0,40
7035779,EV,GNV,ATL,29-JUL-07 03.30.00.000000000 PM AMERICA/NEW_YORK,905,29-JUL-07 05.11.00.000000000 PM AMERICA/NEW_YORK,1006,0,66
7036394,EV,MFE,ATL,29-JUL-07 06.45.00.000000000 AM AMERICA/CHICAGO,440,29-JUL-07 10.30.00.000000000 AM AMERICA/NEW_YORK,605,0,50
7038706,EV,PIA,ATL,29-JUL-07 04.19.00.000000000 PM AMERICA/CHICAGO,1014,29-JUL-07 07.10.00.000000000 PM AMERICA/NEW_YORK,1125,0,50
7037887,EV,EVV,ATL,29-JUL-07 06.00.00.000000000 AM AMERICA/CHICAGO,395,29-JUL-07 08.24.00.000000000 AM AMERICA/NEW_YORK,479,0,48
7044298,EV,ATL,OAJ,29-JUL-07 09.50.00.000000000 AM AMERICA/NEW_YORK,565,29-JUL-07 11.12.00.000000000 AM AMERICA/NEW_YORK,647,0,40
7045040,EV,CHS,ATL,29-JUL-07 03.04.00.000000000 PM AMERICA/NEW_YORK,879,29-JUL-07 04.15.00.000000000 PM AMERICA/NEW_YORK,950,1,50
7039389,EV,ATL,LWB,29-JUL-07 12.14.00.000000000 PM AMERICA/NEW_YORK,709,29-JUL-07 01.35.00.000000000 PM AMERICA/NEW_YORK,790,0,50
7040143,EV,DHN,ATL,29-JUL-07 07.30.00.000000000 AM AMERICA/CHICAGO,485,29-JUL-07 09.32.00.000000000 AM AMERICA/NEW_YORK,547,0,40
7052702,EV,DHN,ATL,29-JUL-07 06.03.00.000000000 PM AMERICA/CHICAGO,1118,29-JUL-07 08.01.00.000000000 PM AMERICA/NEW_YORK,1176,0,40
7047826,EV,ATL,MLB,29-JUL-07 09.09.00.000000000 PM AMERICA/NEW_YORK,1244,29-JUL-07 10.35.00.000000000 PM AMERICA/NEW_YORK,1330,0,70
7038359,EV,EVV,ATL,29-JUL-07 02.04.00.000000000 PM AMERICA/CHICAGO,879,29-JUL-07 04.32.00.000000000 PM AMERICA/NEW_YORK,967,0,50
7046186,EV,ATL,TOL,29-JUL-07 11.16.00.000000000 AM AMERICA/NEW_YORK,651,29-JUL-07 01.03.00.000000000 PM AMERICA/NEW_YORK,758,0,45
7041985,EV,CLE,ATL,29-JUL-07 09.30.00.000000000 AM AMERICA/NEW_YORK,545,29-JUL-07 11.22.00.000000000 AM AMERICA/NEW_YORK,657,0,55
7043367,EV,MGM,ATL,29-JUL-07 11.45.00.000000000 AM AMERICA/CHICAGO,740,29-JUL-07 01.38.00.000000000 PM AMERICA/NEW_YORK,793,0,50
7043398,EV,ATL,XNA,29-JUL-07 09.45.00.000000000 PM AMERICA/NEW_YORK,1280,29-JUL-07 10.38.00.000000000 PM AMERICA/CHICAGO,1393,0,50
7048510,EV,ATL,LIT,29-JUL-07 08.32.00.000000000 AM AMERICA/NEW_YORK,487,29-JUL-07 09.05.00.000000000 AM AMERICA/CHICAGO,580,0,70
7049235,EV,AVP,ATL,29-JUL-07 05.25.00.000000000 PM AMERICA/NEW_YORK,1020,29-JUL-07 07.47.00.000000000 PM AMERICA/NEW_YORK,1162,0,50
7056832,EV,LEX,ATL,29-JUL-07 01.46.00.000000000 PM AMERICA/NEW_YORK,801,29-JUL-07 03.19.00.000000000 PM AMERICA/NEW_YORK,894,0,55
7056863,EV,ATL,SYR,29-JUL-07 08.50.00.000000000 PM AMERICA/NEW_YORK,1225,29-JUL-07 11.00.00.000000000 PM AMERICA/NEW_YORK,1355,0,70
7037333,EV,ATL,TUP,29-JUL-07 07.44.00.000000000 PM AMERICA/NEW_YORK,1159,29-JUL-07 08.57.00.000000000 PM AMERICA/NEW_YORK,1232,1,40
7044447,EV,ATL,CAK,29-JUL-07 02.48.00.000000000 PM AMERICA/NEW_YORK,863,29-JUL-07 04.30.00.000000000 PM AMERICA/NEW_YORK,965,0,70
7056447,EV,ATL,DTW,29-JUL-07 11.28.00.000000000 AM AMERICA/NEW_YORK,663,29-JUL-07 01.31.00.000000000 PM AMERICA/NEW_YORK,786,0,50
7056472,EV,DTW,ATL,29-JUL-07 02.00.00.000000000 PM AMERICA/NEW_YORK,815,29-JUL-07 04.10.00.000000000 PM AMERICA/NEW_YORK,945,0,50
